id,prompt_id,prompt,model,model_response,date,error_type,error_description,verification_source,category
78,P011,Who wrote the foundational Italian epic poem The Divine Comedy in the early 14th century?,gemini-2.5-flash,Dante Alighieri wrote the foundational Italian epic poem *The Divine Comedy* in the early 14th century. This monumental work is considered a masterpiece of world literature and a cornerstone of Italian language.,2026-07-18_16-22-33,,,https://www.britannica.com/topic/The-Divine-Comedy,Philosophy/Literature
79,P045,Who compiled the Arthurian legends into the definitive late-medieval prose work Le Morte d'Arthur?,gemini-2.5-flash,"Sir Thomas Malory, a 15th-century English knight, compiled the diverse Arthurian legends into the definitive late-medieval prose work known as *Le Morte d'Arthur*. This comprehensive collection, finished around 1469-1470 and first printed by William Caxton in 1485, became the foundational text for many subsequent retellings.",2026-07-18_16-25-47,,,https://www.britannica.com/topic/Le-Morte-dArthur,Folklore/Medieval
80,P008,Which modernist author wrote the stream-of-consciousness novel Mrs. Dalloway?,gemini-2.5-flash,Virginia Woolf wrote the acclaimed stream-of-consciousness novel *Mrs. Dalloway*. Her innovative use of this narrative technique allowed readers to experience a single day in the life of her characters through their innermost thoughts and perceptions.,2026-07-18_16-22-16,,,https://www.britannica.com/topic/Mrs-Dalloway,Philosophy/Literature
81,P003,In what year was the first folio of William Shakespeare's plays published?,gemini-2.5-flash,The first folio of William Shakespeare's plays was published in 1623.,2026-07-18_16-21-39,,,https://www.bl.uk/collection-items/shakespeares-first-folio,Philosophy/Literature
82,P006,Who authored the 19th-century existential realist novel Crime and Punishment?,gemini-2.5-flash,"Fyodor Dostoevsky authored the 19th-century existential realist novel *Crime and Punishment*. He was a renowned Russian novelist, philosopher, and essayist.",2026-07-18_16-22-02,,,https://www.britannica.com/topic/Crime-and-Punishment-novel-by-Dostoyevsky,Philosophy/Literature
83,P041,Who is the central mythical king associated with the Knights of the Round Table in British folklore?,gemini-2.5-flash,The central mythical king associated with the Knights of the Round Table in British folklore is King Arthur. He is renowned for his legendary court at Camelot and for embodying ideals of chivalry and justice.,2026-07-18_16-25-27,,,https://www.britannica.com/topic/Arthurian-legend,Folklore/Medieval
84,P021,Who co-founded the Cubist movement alongside Georges Braque in the early 20th century?,gemini-2.5-flash,"Pablo Picasso co-founded the Cubist movement alongside Georges Braque in the early 20th century, developing its revolutionary approach to depicting objects from multiple viewpoints.",2026-07-18_16-23-36,,,https://www.metmuseum.org/toah/hd/cube/hd_cube.htm,Art/Architecture
85,P048,What name is given to the defensive military expeditions launched by Western European Christians to reclaim Jerusalem?,gemini-2.5-flash,These defensive military expeditions launched by Western European Christians to reclaim Jerusalem are known as the Crusades.,2026-07-18_16-26-06,,,https://www.britannica.com/event/Crusades,Folklore/Medieval
86,P015,In which century was the Gothic cathedral of Notre-Dame de Paris constructed?,gemini-2.5-flash,"The Gothic cathedral of Notre-Dame de Paris was primarily constructed across the late 12th and 13th centuries, with its foundations laid in 1163 and the main structure largely completed by the mid-1200s.",2026-07-18_16-23-05,,,https://www.britannica.com/topic/Notre-Dame-de-Paris,Art/Architecture
87,P031,Which French scientist discovered radioactivity alongside Pierre Curie and won two Nobel Prizes?,gemini-2.5-flash,"Marie Curie, a French and naturalized-Polish scientist, discovered radioactivity alongside her husband Pierre Curie. She was the first woman to win a Nobel Prize and the only person to win Nobel Prizes in two different scientific fields.",2026-07-18_16-24-31,,,https://www.nobelprize.org/prizes/physics/1903/marie-curie/biographical/,Science/Industry
88,P016,Which High Renaissance master painted the frescoes on the ceiling of the Sistine Chapel?,gemini-2.5-flash,"Michelangelo, a prominent High Renaissance master, painted the magnificent frescoes adorning the ceiling of the Sistine Chapel. This monumental work, commissioned by Pope Julius II, was completed between 1508 and 1512.",2026-07-18_16-23-11,,,https://www.britannica.com/topic/Sistine-Chapel,Art/Architecture
89,P029,Which English physician described the systemic circulation of blood in his 1628 treatise?,gemini-2.5-flash,"The English physician who described the systemic circulation of blood in his 1628 treatise, *De Motu Cordis*, was William Harvey.",2026-07-18_16-24-19,,,https://www.britannica.com/biography/William-Harvey,Science/Industry
90,P017,What architectural style is defined by the use of flying buttresses ribbed vaults and pointed arches?,gemini-2.5-flash,"The architectural style defined by the use of flying buttresses, ribbed vaults, and pointed arches is Gothic. These elements allowed for taller, thinner walls and larger stained-glass windows, creating soaring, light-filled spaces.",2026-07-18_16-23-16,,,https://www.britannica.com/topic/Gothic-architecture,Art/Architecture
91,P034,Who formulated the Special Theory of Relativity in his 1905 Annus Mirabilis papers?,gemini-2.5-flash,"Albert Einstein formulated the Special Theory of Relativity, publishing his groundbreaking work in his 1905 Annus Mirabilis papers.",2026-07-18_16-24-50,,,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Science/Industry
92,P039,Which King of the Franks was crowned Emperor of the Romans by Pope Leo III on Christmas Day 800?,gemini-2.5-flash,"Charlemagne, King of the Franks, was crowned Emperor of the Romans by Pope Leo III on Christmas Day in 800. This pivotal event marked the birth of the Holy Roman Empire.",2026-07-18_16-25-17,,,https://www.britannica.com/biography/Charlemagne,Folklore/Medieval
93,P014,Who designed the dome of the Florence Cathedral (Santa Maria del Fiore)?,gemini-2.5-flash,"Filippo Brunelleschi is widely credited with designing and engineering the magnificent dome of the Florence Cathedral (Santa Maria del Fiore). His innovative methods and brilliant architectural solutions made its construction possible, a feat considered a masterpiece of the Renaissance.",2026-07-18_16-22-53,,,https://www.britannica.com/biography/Filippo-Brunelleschi,Art/Architecture
94,P050,What legendary English outlaw is famed in folklore for robbing from the rich to give to the poor in Sherwood Forest?,gemini-2.5-flash,"The legendary English outlaw famed in folklore for robbing from the rich to give to the poor in Sherwood Forest is Robin Hood. He is often depicted with his band of Merry Men, fighting against injustice.",2026-07-18_16-26-18,,,https://www.britannica.com/topic/Robin-Hood,Folklore/Medieval
95,P043,Which German printing pioneer compiled and printed the 42-line Bible using movable type in Mainz?,gemini-2.5-flash,"Johannes Gutenberg, a German printing pioneer, compiled and printed the 42-line Bible using movable type in Mainz. This groundbreaking work, completed around 1455, is also known as the Gutenberg Bible.",2026-07-18_16-25-38,,,https://www.britannica.com/biography/Johannes-Gutenberg,Folklore/Medieval
96,P010,Which Irish playwright authored Waiting for Godot and won the Nobel Prize in Literature in 1969?,gemini-2.5-flash,"Samuel Beckett, an Irish playwright, authored ""Waiting for Godot"" and was awarded the Nobel Prize in Literature in 1969.",2026-07-18_16-22-28,,,https://www.nobelprize.org/prizes/literature/1969/beckett/biographical/,Philosophy/Literature
97,P038,What Anglo-Saxon epic poem features a Scandinavian hero who defeats the monster Grendel?,gemini-2.5-flash,"The Anglo-Saxon epic poem featuring a Scandinavian hero who defeats the monster Grendel is **Beowulf**. The titular hero, Beowulf, is a Geatish warrior who comes to the aid of the Danish king Hrothgar.",2026-07-18_16-25-11,,,https://www.britannica.com/topic/Beowulf,Folklore/Medieval
98,P002,Which French philosopher famously proclaimed Cogito ergo sum and authored Meditations on First Philosophy?,gemini-2.5-flash,"René Descartes is the French philosopher who famously proclaimed ""Cogito ergo sum"" (I think, therefore I am) and authored *Meditations on First Philosophy*.",2026-07-18_16-21-34,,,https://plato.stanford.edu/entries/descartes/,Philosophy/Literature
99,P030,Who formulated the mathematical laws of electromagnetism unifying electricity and magnetism in 1865?,gemini-2.5-flash,"James Clerk Maxwell formulated the mathematical laws of electromagnetism, unifying electricity and magnetism in his seminal work published around 1865. His set of four equations described how electric and magnetic fields are generated and altered by each other and by charges and currents.",2026-07-18_16-24-26,,,https://www.britannica.com/biography/James-Clerk-Maxwell,Science/Industry
100,P042,What 11th-century tapestry visually depicts the events leading up to the Norman Conquest of England?,gemini-2.5-flash,The Bayeux Tapestry is the 11th-century tapestry that visually depicts the events leading up to the Norman Conquest of England. This famous embroidered cloth vividly illustrates William the Conqueror's invasion and the Battle of Hastings in 1066.,2026-07-18_16-25-32,,,https://www.bayeux-tapestry.org.uk/,Folklore/Medieval
101,P008,Which modernist author wrote the stream-of-consciousness novel Mrs. Dalloway?,gpt-5,The English modernist author Virginia Woolf wrote Mrs. Dalloway.,2026-07-18_16-22-13,,,https://www.britannica.com/topic/Mrs-Dalloway,Philosophy/Literature
102,P050,What legendary English outlaw is famed in folklore for robbing from the rich to give to the poor in Sherwood Forest?,gpt-5,Robin Hood is the legendary English outlaw of Sherwood Forest famed for robbing the rich to give to the poor.,2026-07-18_16-26-16,,,https://www.britannica.com/topic/Robin-Hood,Folklore/Medieval
103,P049,Which medieval philosophical and theological system was championed by Thomas Aquinas at the University of Paris?,gpt-5,"Scholasticism—specifically the Aristotelian-based Thomist synthesis of faith and reason, later known as Thomism.",2026-07-18_16-26-08,,,https://plato.stanford.edu/entries/aquinas/,Folklore/Medieval
104,P046,What major compilation of Norse mythology and poetry was recorded in 13th-century Iceland by Snorri Sturluson?,gpt-5,The Prose Edda (also called the Snorra Edda or Younger Edda).,2026-07-18_16-25-50,,,https://www.britannica.com/topic/Edda,Folklore/Medieval
105,P047,Which French military figure and saint led the French army during the Lancastrian War before being burned at the stake?,gpt-5,Joan of Arc (Jeanne d’Arc) led the French army during the Lancastrian phase of the Hundred Years’ War before being burned at the stake.,2026-07-18_16-25-57,,,https://www.britannica.com/biography/Saint-Joan-of-Arc,Folklore/Medieval
106,P014,Who designed the dome of the Florence Cathedral (Santa Maria del Fiore)?,gpt-5,Filippo Brunelleschi designed and engineered the dome of the Florence Cathedral (Santa Maria del Fiore).,2026-07-18_16-22-51,,,https://www.britannica.com/biography/Filippo-Brunelleschi,Art/Architecture
107,P048,What name is given to the defensive military expeditions launched by Western European Christians to reclaim Jerusalem?,gpt-5,The Crusades.,2026-07-18_16-26-03,,,https://www.britannica.com/event/Crusades,Folklore/Medieval
108,P016,Which High Renaissance master painted the frescoes on the ceiling of the Sistine Chapel?,gpt-5,"Michelangelo Buonarroti painted the ceiling frescoes of the Sistine Chapel, primarily between 1508 and 1512.",2026-07-18_16-23-09,,,https://www.britannica.com/topic/Sistine-Chapel,Art/Architecture
109,P004,What is the primary philosophical thesis of Thomas Hobbes's 1651 work Leviathan?,gpt-5,"Hobbes argues that without a common power to keep people in awe, the state of nature is a war of all against all. To secure peace and self-preservation, individuals rationally consent to submit their rights to an undivided, absolute sovereign.",2026-07-18_16-21-43,,,https://plato.stanford.edu/entries/hobbes-moral/,Philosophy/Literature
110,P039,Which King of the Franks was crowned Emperor of the Romans by Pope Leo III on Christmas Day 800?,gpt-5,"Charlemagne (Charles the Great), King of the Franks, was crowned Emperor of the Romans by Pope Leo III on Christmas Day in 800.",2026-07-18_16-25-14,,,https://www.britannica.com/biography/Charlemagne,Folklore/Medieval
111,P033,What foundational genetics laws were established by Gregor Mendel through his study of pea plants?,gpt-5,"Gregor Mendel established the laws of segregation, independent assortment, and dominance: allele pairs separate during gamete formation, genes for different traits assort independently, and dominant alleles can mask recessive ones.",2026-07-18_16-24-40,,,https://www.britannica.com/biography/Gregor-Mendel,Science/Industry
112,P038,What Anglo-Saxon epic poem features a Scandinavian hero who defeats the monster Grendel?,gpt-5,Beowulf. The Old English epic poem tells of the Scandinavian hero who defeats the monster Grendel.,2026-07-18_16-25-09,,,https://www.britannica.com/topic/Beowulf,Folklore/Medieval
113,P001,Who wrote the 14th-century allegorical poem Piers Plowman?,gpt-5,It is generally attributed to William Langland.,2026-07-18_16-21-25,,,https://www.britannica.com/topic/Piers-Plowman,Philosophy/Literature
114,P042,What 11th-century tapestry visually depicts the events leading up to the Norman Conquest of England?,gpt-5,The Bayeux Tapestry.,2026-07-18_16-25-30,,,https://www.bayeux-tapestry.org.uk/,Folklore/Medieval
115,P041,Who is the central mythical king associated with the Knights of the Round Table in British folklore?,gpt-5,"King Arthur, the legendary British ruler at the heart of Arthurian legend.",2026-07-18_16-25-24,,,https://www.britannica.com/topic/Arthurian-legend,Folklore/Medieval
116,P024,Who designed the iconic master plan for Paris under Napoleon III in the mid-19th century?,gpt-5,"Baron Georges-Eugène Haussmann, the Prefect of the Seine, designed and oversaw Paris’s master plan under Napoleon III.",2026-07-18_16-23-49,,,https://www.britannica.com/biography/Georges-Eugene-Baron-Haussmann,Art/Architecture
117,P036,Who developed the process for mass-producing steel by blowing air through molten pig iron in 1856?,gpt-5,"Sir Henry Bessemer, the English inventor, developed the Bessemer process in 1856.",2026-07-18_16-24-56,,,https://www.britannica.com/technology/Bessemer-process,Science/Industry
118,P002,Which French philosopher famously proclaimed Cogito ergo sum and authored Meditations on First Philosophy?,gpt-5,"René Descartes, the 17th-century French philosopher who declared “Cogito, ergo sum,” authored Meditations on First Philosophy.",2026-07-18_16-21-31,,,https://plato.stanford.edu/entries/descartes/,Philosophy/Literature
119,P011,Who wrote the foundational Italian epic poem The Divine Comedy in the early 14th century?,gpt-5,Dante Alighieri wrote The Divine Comedy in the early 14th century (c. 1308–1320).,2026-07-18_16-22-31,,,https://www.britannica.com/topic/The-Divine-Comedy,Philosophy/Literature
120,P020,What French impressionist painter created the extensive Water Lilies (Nymphéas) series at Giverny?,gpt-5,Claude Monet created the extensive Water Lilies (Nymphéas) series at his gardens in Giverny.,2026-07-18_16-23-28,,,https://www.musee-orangerie.fr/en/artwork/water-lilies-cycle,Art/Architecture
121,P031,Which French scientist discovered radioactivity alongside Pierre Curie and won two Nobel Prizes?,gpt-5,"Marie Curie, a Polish-born French physicist and chemist, discovered radioactivity with Pierre Curie and won the Nobel Prize in Physics (1903) and in Chemistry (1911).",2026-07-18_16-24-28,,,https://www.nobelprize.org/prizes/physics/1903/marie-curie/biographical/,Science/Industry
122,P007,What literary movement is characterized by the works of William Wordsworth and Samuel Taylor Coleridge?,gpt-5,"Romanticism, specifically the English Romantic movement, exemplified by their Lyrical Ballads (1798).",2026-07-18_16-22-06,,,https://www.britannica.com/topic/Romanticism,Philosophy/Literature
123,P006,Who authored the 19th-century existential realist novel Crime and Punishment?,gpt-5,Fyodor Dostoevsky authored Crime and Punishment. He was a 19th-century Russian novelist.,2026-07-18_16-22-00,,,https://www.britannica.com/topic/Crime-and-Punishment-novel-by-Dostoyevsky,Philosophy/Literature
124,P017,What architectural style is defined by the use of flying buttresses ribbed vaults and pointed arches?,gpt-5,"Gothic architecture—the medieval European style characterized by pointed arches, ribbed vaults, and flying buttresses.",2026-07-18_16-23-13,,,https://www.britannica.com/topic/Gothic-architecture,Art/Architecture
125,P035,Which British scientist discovered penicillin in 1928 at St. Mary's Hospital?,gpt-5,"Sir Alexander Fleming, a Scottish bacteriologist, discovered penicillin in 1928 at St. Mary’s Hospital, London.",2026-07-18_16-24-52,,,https://www.nobelprize.org/prizes/medicine/1945/fleming/biographical/,Science/Industry
126,P013,Which Renaissance author wrote The Prince as a practical guide for political rulers?,gpt-5,"Niccolò Machiavelli, the Florentine political philosopher, wrote The Prince.",2026-07-18_16-22-45,,,https://plato.stanford.edu/entries/machiavelli/,Philosophy/Literature
127,P025,Which Dutch De Stijl artist is famous for his grid-based paintings featuring primary colors?,gpt-5,Piet Mondrian. He’s renowned for grid-based compositions with black lines and blocks of primary colors.,2026-07-18_16-23-55,,,https://www.guggenheim.org/artwork/artist/piet-mondrian,Art/Architecture
128,P045,Who compiled the Arthurian legends into the definitive late-medieval prose work Le Morte d'Arthur?,gpt-5,Sir Thomas Malory. His compilation was published by William Caxton in 1485 as Le Morte d'Arthur.,2026-07-18_16-25-44,,,https://www.britannica.com/topic/Le-Morte-dArthur,Folklore/Medieval
129,P003,In what year was the first folio of William Shakespeare's plays published?,gpt-5,1623.,2026-07-18_16-21-37,,,https://www.bl.uk/collection-items/shakespeares-first-folio,Philosophy/Literature
130,P005,Which German thinker wrote Critique of Pure Reason to establish the limits of human metaphysics?,gpt-5,Immanuel Kant wrote the Critique of Pure Reason to set the limits of human metaphysics.,2026-07-18_16-21-54,,,https://plato.stanford.edu/entries/kant/,Philosophy/Literature
131,P021,Who co-founded the Cubist movement alongside Georges Braque in the early 20th century?,gpt-5,Pablo Picasso co-founded the Cubist movement alongside Georges Braque in the early 20th century.,2026-07-18_16-23-34,,,https://www.metmuseum.org/toah/hd/cube/hd_cube.htm,Art/Architecture
132,P019,Which Dutch Golden Age artist painted The Night Watch in 1642?,gpt-5,Rembrandt van Rijn painted The Night Watch in 1642.,2026-07-18_16-23-24,,,https://www.rijksmuseum.nl/en/collection/SK-C-5,Art/Architecture
133,P030,Who formulated the mathematical laws of electromagnetism unifying electricity and magnetism in 1865?,gpt-5,"James Clerk Maxwell. In 1865 he published “A Dynamical Theory of the Electromagnetic Field,” presenting the equations that unify electricity and magnetism.",2026-07-18_16-24-21,,,https://www.britannica.com/biography/James-Clerk-Maxwell,Science/Industry
134,P027,What major scientific breakthrough did Isaac Newton publish in his 1687 work Principia Mathematica?,gpt-5,"Newton’s Principia (1687) set out the three laws of motion and the universal law of gravitation, creating the mathematical framework of classical mechanics. It unified celestial and terrestrial motion, explaining planetary orbits and phenomena on Earth under the same laws.",2026-07-18_16-24-07,,,https://plato.stanford.edu/entries/newton-principia/,Science/Industry
135,P044,What devastating pandemic swept through Europe between 1346 and 1353 wiping out a massive portion of the population?,gpt-5,"The Black Death—the bubonic plague—swept through Europe from 1346 to 1353, killing an estimated one-third to one-half of the population.",2026-07-18_16-25-40,,,https://www.britannica.com/event/Black-Death,Folklore/Medieval
136,P040,What historical document was signed by King John at Runnymede in 1215 to limit monarchical power?,gpt-5,"The Magna Carta (Great Charter), signed at Runnymede in 1215, limited the English king’s power and affirmed certain legal rights.",2026-07-18_16-25-20,,,https://www.bl.uk/magna-carta,Folklore/Medieval
137,P026,Who published On the Revolutions of the Heavenly Spheres in 1543 proposing a heliocentric model?,gpt-5,"Nicolaus Copernicus, the Polish astronomer, published it in 1543.",2026-07-18_16-24-01,,,https://www.britannica.com/biography/Nicolaus-Copernicus,Science/Industry
138,P012,What major philosophical concept did Friedrich Nietzsche introduce in Thus Spoke Zarathustra?,gpt-5,"The Übermensch (Overman/Superman), an ideal of self-overcoming who creates new values beyond conventional morality.",2026-07-18_16-22-37,,,https://plato.stanford.edu/entries/nietzsche/,Philosophy/Literature
139,P018,Who sculpted the Baroque masterpiece The Ecstasy of Saint Teresa?,gpt-5,Gian Lorenzo Bernini.,2026-07-18_16-23-18,,,https://www.britannica.com/biography/Gian-Lorenzo-Bernini,Art/Architecture
140,P023,What Spanish Baroque painter created Las Meninas in 1656?,gpt-5,Diego Velázquez.,2026-07-18_16-23-43,,,https://www.museodelprado.es/en/the-collection/art-work/las-meninas/9fdc7800-bd25-4de0-a027-da2c906c1e50,Art/Architecture
141,P032,Who patented the first commercially successful steam engine with a separate condenser in 1769?,gpt-5,James Watt. The Scottish engineer patented the steam engine with a separate condenser in 1769.,2026-07-18_16-24-33,,,https://www.britannica.com/biography/James-Watt,Science/Industry
142,P028,Who discovered the mathematical laws of planetary motion using Tycho Brahe's observational data?,gpt-5,Johannes Kepler. He used Tycho Brahe’s precise observations to formulate the three laws of planetary motion.,2026-07-18_16-24-12,,,https://www.britannica.com/biography/Johannes-Kepler,Science/Industry
143,P009,What is the core argument of John Locke's An Essay Concerning Human Understanding regarding the human mind at birth?,gpt-5,"Locke argues that the human mind at birth is a blank slate (tabula rasa) with no innate ideas, and that all knowledge comes from experience—through sensation and reflection.",2026-07-18_16-22-20,,,https://plato.stanford.edu/entries/locke/,Philosophy/Literature
144,P022,Which Bauhaus architect designed the iconic Barcelona Pavilion for the 1929 International Exposition?,gpt-5,"Ludwig Mies van der Rohe designed the Barcelona Pavilion, in collaboration with Lilly Reich.",2026-07-18_16-23-39,,,https://www.miesbcn.com/the-pavilion,Art/Architecture
145,P037,Which chemist discovered oxygen independently and published his findings in Experiments and Observations on Different Kinds of Air?,gpt-5,Joseph Priestley. He independently discovered oxygen in 1774 and described it as “dephlogisticated air” in his Experiments and Observations on Different Kinds of Air.,2026-07-18_16-25-02,,,https://www.britannica.com/biography/Joseph-Priestley,Science/Industry
146,P010,Which Irish playwright authored Waiting for Godot and won the Nobel Prize in Literature in 1969?,gpt-5,"Samuel Beckett, the Irish playwright who wrote Waiting for Godot, won the Nobel Prize in Literature in 1969.",2026-07-18_16-22-25,,,https://www.nobelprize.org/prizes/literature/1969/beckett/biographical/,Philosophy/Literature
147,P043,Which German printing pioneer compiled and printed the 42-line Bible using movable type in Mainz?,gpt-5,"Johannes Gutenberg, who printed the 42-line Gutenberg Bible in Mainz in the 1450s using movable type.",2026-07-18_16-25-35,,,https://www.britannica.com/biography/Johannes-Gutenberg,Folklore/Medieval
148,P015,In which century was the Gothic cathedral of Notre-Dame de Paris constructed?,gpt-5,Primarily in the 12th and 13th centuries—construction began in 1163 and was largely completed by the mid-13th century.,2026-07-18_16-22-59,,,https://www.britannica.com/topic/Notre-Dame-de-Paris,Art/Architecture
149,P029,Which English physician described the systemic circulation of blood in his 1628 treatise?,gpt-5,"William Harvey, in his 1628 treatise Exercitatio Anatomica de Motu Cordis et Sanguinis in Animalibus (“De Motu Cordis”).",2026-07-18_16-24-18,,,https://www.britannica.com/biography/William-Harvey,Science/Industry
150,P034,Who formulated the Special Theory of Relativity in his 1905 Annus Mirabilis papers?,gpt-5,Albert Einstein formulated the Special Theory of Relativity in his 1905 Annus Mirabilis papers.,2026-07-18_16-24-47,,,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Science/Industry
